program_id,program_name,program_type,department,required_credits,description,source
1,AI융합장애인라이프케어,CONVERGENCE,융합전공,21,인공지능을 활용한 장애인 지원 라이프케어 서비스 설계 및 개발,융합전공 교과과정 편성표2026
2,AI융합시니어라이프케어,CONVERGENCE,융합전공,21,인공지능을 활용한 시니어 지원 라이프케어 서비스 설계 및 개발,융합전공 교과과정 편성표2026
