equivalence_id,primary_course_id,equivalent_course_id,program_id,note,source
1,30,39,2,SA106(보조공학과제)과 TR124(보조공학과제) 동일 인정,융합전공 교과과정 편성표2026
2,28,54,1,PS407(장애인복지행정)과 PS413(장애인복지실습) 유사 인정,융합전공 교과과정 편성표2026
