restriction_id,primary_course_id,restricted_course_id,restriction_type,note,source
1,3,4,동일이수불가,DS201과 DS301은 동일학기 이수 불가,융합전공 교과과정 편성표2026
2,36,51,동일이수불가,SH328과 NE341은 동일학기 이수 불가,융합전공 교과과정 편성표2026
3,37,50,동일이수불가,SH404과 NI140은 동일학기 이수 불가,융합전공 교과과정 편성표2026
4,5,49,동일이수불가,EM234과 SH405는 동일학기 이수 불가,융합전공 교과과정 편성표2026
5,8,45,동일이수불가,MI401과 SH309는 동일학기 이수 불가,융합전공 교과과정 편성표2026
6,30,39,동일이수불가,SA106과 TR124는 동일과목,융합전공 교과과정 편성표2026
7,28,54,동일이수불가,PS407과 PS413은 유사과목,융합전공 교과과정 편성표2026
