program_id,program_name,program_type,department,required_credits,description,source
1,인지감성컴퓨팅 특화전공,SPECIALIZED,AI·SW학,21,인간의 감정과 인지 상태를 이해하고 반응하는 인간 중심 컴퓨팅 분야,특화전공 교과과정 편성표2026
2,앰비언트컴퓨팅 특화전공,SPECIALIZED,AI·SW학,21,사용자가 의식하지 않아도 주변 환경과 자연스럽게 상호작용하는 컴퓨팅 분야,특화전공 교과과정 편성표2026
