notice_id,source_board,title,category,posted_date,notice_url,content
219,SW중심대학사업단 공지사항,[홍보] 2024 대한민국 SW교육 페스티벌 행사 안내(11.1~11.3),행사,2024-10-24,https://swuniv.hs.ac.kr/07_01,
220,SW중심대학사업단 공지사항,[홍보] SW중심대학 산학협력프로젝트 신청(변경 2024. 10. 29 15시까지),학사,2024-10-15,https://swuniv.hs.ac.kr/07_01,
221,SW중심대학사업단 공지사항,[홍보] 2024년 SW중심대학 생성형 AI 활용 경험 공모전 개최 안내(~10/27까지),행사,2024-10-14,https://swuniv.hs.ac.kr/07_01,
222,SW중심대학사업단 공지사항,제22회 TOPCIT 정기평가 응시자 사전교육 안내 (응시자 필참),학사,2024-10-04,https://swuniv.hs.ac.kr/07_01,
223,SW중심대학사업단 공지사항,[안내] 2024년 제22회 TOPCIT 학습사이트 안내,학사,2024-09-25,https://swuniv.hs.ac.kr/07_01,
224,SW중심대학사업단 공지사항,[홍보] (SW중심대학협의회) 온라인 콘텐츠 SW인재열전 인터뷰이 모집 안내,행사,2024-10-04,https://swuniv.hs.ac.kr/07_01,
225,SW중심대학사업단 공지사항,2024년 캡스톤 디자인 및 AI 해커톤 대회(타대학 연합) 참가자 모집(~10/2까지 기한 연장),학사,2024-09-20,https://swuniv.hs.ac.kr/07_01,
226,SW중심대학사업단 공지사항,[SW교육센터] 클린코딩클리닉 참여자 모집 안내,학사,2024-09-04,https://swuniv.hs.ac.kr/07_01,
227,SW중심대학사업단 공지사항,[홍보] 2024 SW우수작품 경진대회 (SW인재페스티벌 출품) 참가자 모집(~9/13까지),행사,2024-09-04,https://swuniv.hs.ac.kr/07_01,
228,SW중심대학사업단 공지사항,[홍보] 2024 SW중심대학 에세이 공모전(9/2~9/20),학사,2024-09-02,https://swuniv.hs.ac.kr/07_01,
229,SW중심대학사업단 공지사항,[홍보] 2024 제1회 국방 AI 아이디어톤(참가접수: 24. 8. 8.~10.7. 온라인),행사,2024-09-02,https://swuniv.hs.ac.kr/07_01,
230,SW중심대학사업단 공지사항,[안내] TOPCIT 제22회 정기평가 안내,학사,2024-09-02,https://swuniv.hs.ac.kr/07_01,
231,SW중심대학사업단 공지사항,[공지] 한신대학교 SW중심대학사업 운영규정(2024. 8. 1.),학사,2024-09-02,https://swuniv.hs.ac.kr/07_01,
