program_course_id,program_id,course_id,effective_year,recognition_credit,is_required,note
195,10,692,2026,3.0,,
196,10,715,2026,3.0,,
197,10,716,2026,3.0,,
198,10,718,2026,3.0,,
199,10,693,2026,3.0,,
200,10,694,2026,3.0,,
201,10,699,2026,3.0,,
202,10,708,2026,3.0,,
203,10,711,2026,3.0,,
204,10,714,2026,3.0,,
205,10,695,2026,3.0,,
206,10,696,2026,3.0,,
207,10,700,2026,3.0,,
208,10,709,2026,3.0,,
209,10,710,2026,3.0,,
210,10,712,2026,3.0,,
211,10,697,2026,3.0,,
212,10,698,2026,3.0,,
213,10,701,2026,3.0,,
214,10,702,2026,3.0,,
215,10,703,2026,3.0,,
216,10,713,2026,3.0,,
217,10,704,2026,3.0,,
218,10,705,2026,3.0,,
219,10,717,2026,3.0,,
220,10,724,2026,3.0,,
221,10,732,2026,3.0,,
222,10,706,2026,3.0,,
223,10,707,2026,3.0,,
224,10,733,2026,3.0,,
225,10,735,2026,3.0,,
226,10,747,2026,3.0,,
227,10,748,2026,3.0,,
228,10,734,2026,3.0,,
229,10,736,2026,3.0,,
230,10,749,2026,3.0,,
231,10,750,2026,3.0,,
232,11,691,2026,3.0,,
233,11,692,2026,3.0,,
234,11,704,2026,3.0,,
235,11,715,2026,3.0,,
236,11,716,2026,3.0,,
237,11,717,2026,3.0,,
238,11,718,2026,3.0,,
239,11,693,2026,3.0,,
240,11,694,2026,3.0,,
241,11,699,2026,3.0,,
242,11,705,2026,3.0,,
243,11,711,2026,3.0,,
244,11,714,2026,3.0,,
245,11,695,2026,3.0,,
246,11,696,2026,3.0,,
247,11,700,2026,3.0,,
248,11,706,2026,3.0,,
249,11,712,2026,3.0,,
250,11,697,2026,3.0,,
251,11,698,2026,3.0,,
252,11,701,2026,3.0,,
253,11,702,2026,3.0,,
254,11,703,2026,3.0,,
255,11,707,2026,3.0,,
256,11,713,2026,3.0,,
257,11,708,2026,3.0,,
258,11,709,2026,3.0,,
259,11,719,2026,3.0,,
260,11,724,2026,3.0,,
261,11,732,2026,3.0,,
262,11,710,2026,3.0,,
263,11,720,2026,3.0,,
264,11,721,2026,3.0,,
265,11,733,2026,3.0,,
266,11,735,2026,3.0,,
267,11,751,2026,3.0,,
268,11,734,2026,3.0,,
269,11,736,2026,3.0,,
270,11,752,2026,3.0,,
271,12,691,2026,3.0,,
272,12,692,2026,3.0,,
273,12,704,2026,3.0,,
274,12,715,2026,3.0,,
275,12,716,2026,3.0,,
276,12,717,2026,3.0,,
277,12,718,2026,3.0,,
278,12,693,2026,3.0,,
279,12,694,2026,3.0,,
280,12,699,2026,3.0,,
281,12,705,2026,3.0,,
282,12,708,2026,3.0,,
283,12,714,2026,3.0,,
284,12,695,2026,3.0,,
285,12,696,2026,3.0,,
286,12,700,2026,3.0,,
287,12,706,2026,3.0,,
288,12,709,2026,3.0,,
289,12,710,2026,3.0,,
290,12,697,2026,3.0,,
291,12,698,2026,3.0,,
292,12,701,2026,3.0,,
293,12,702,2026,3.0,,
294,12,703,2026,3.0,,
295,12,707,2026,3.0,,
296,12,711,2026,3.0,,
297,12,712,2026,3.0,,
298,12,724,2026,3.0,,
299,12,728,2026,3.0,,
300,12,732,2026,3.0,,
301,12,713,2026,3.0,,
302,12,723,2026,3.0,,
303,12,729,2026,3.0,,
304,12,733,2026,3.0,,
305,12,735,2026,3.0,,
306,12,753,2026,3.0,,
307,12,734,2026,3.0,,
308,12,736,2026,3.0,,
309,12,754,2026,3.0,,
310,13,691,2026,3.0,,진로: SW개발자; 기초 필수
311,13,692,2026,3.0,,진로: SW개발자; 기초 필수
312,13,693,2026,3.0,,진로: SW개발자; 핵심 과목
313,13,740,2026,3.0,,진로: 풀스택개발자; 웹 개발 핵심
314,13,741,2026,3.0,,진로: 모바일개발자; 모바일 개발
315,14,691,2026,3.0,,진로: AI엔지니어; 기초 필수
316,14,699,2026,3.0,,진로: AI엔지니어; 핵심 과목
317,14,700,2026,3.0,,진로: ML엔지니어; 핵심 과목
318,14,701,2026,3.0,,진로: 딥러닝엔지니어; 핵심 과목
319,14,745,2026,3.0,,진로: AI서비스개발자; 서비스 개발
320,15,691,2026,3.0,,진로: 데이터분석가; 기초 필수
321,15,704,2026,3.0,,진로: 데이터분석가; 핵심 과목
322,15,706,2026,3.0,,진로: 빅데이터엔지니어; 핵심 과목
323,15,747,2026,3.0,,진로: 추천시스템개발자; 심화 분석
324,15,749,2026,3.0,,진로: 텍스트분석가; 텍스트 마이닝
325,16,691,2026,3.0,,진로: XR개발자; 기초 필수
326,16,708,2026,3.0,,진로: XR개발자; 핵심 과목
327,16,709,2026,3.0,,진로: 3D개발자; 3D 프로그래밍
328,16,719,2026,3.0,,진로: 게임개발자; 그래픽스 핵심
329,16,751,2026,3.0,,진로: 디지털트윈개발자; 트윈 기술
330,16,752,2026,3.0,,진로: 메타버스개발자; 메타버스 기술
331,17,691,2026,3.0,,진로: IoT개발자; 기초 필수
332,17,711,2026,3.0,,진로: IoT개발자; 핵심 과목
333,17,712,2026,3.0,,진로: 임베디드개발자; 핵심 과목
334,17,723,2026,3.0,,진로: 로봇엔지니어; 로봇 공학
335,17,753,2026,3.0,,진로: 스마트팩토리엔지니어; 팩토리 기술
336,17,754,2026,3.0,,진로: 자율주행엔지니어; 자율주행
337,18,691,2026,3.0,,진로: AI시스템엔지니어; 기초 필수
338,18,699,2026,3.0,,진로: AI시스템엔지니어; 핵심 과목
339,18,726,2026,3.0,,진로: 클라우드엔지니어; 핵심 과목
340,18,742,2026,3.0,,진로: 클라우드아키텍트; 심화 설계
341,18,746,2026,3.0,,진로: AI시스템운영자; 시스템 운영
342,5,699,2026,3.0,,진로: 감성컴퓨팅개발자; 특화 기초
343,5,713,2026,3.0,,진로: 인지감성개발자; 핵심 과목
344,5,724,2026,3.0,,진로: HCI연구원; 인간컴퓨터상호작용
345,5,738,2026,3.0,,진로: AI윤리연구원; 윤리 과목
346,6,711,2026,3.0,,진로: 앰비언트개발자; 특화 기초
347,6,712,2026,3.0,,진로: 앰비언트개발자; 핵심 과목
348,6,728,2026,3.0,,진로: 엣지컴퓨팅개발자; 핵심 과목
349,6,732,2026,3.0,,진로: 디자인씽킹전문가; 디자인 과목
350,19,701,2026,3.0,,진로: 장애인케어AI개발자; 융합 기초
351,19,706,2026,3.0,,진로: 장애인케어분석가; 데이터 분석
352,19,733,2026,3.0,,진로: 장애인케어서비스개발자; 프로젝트
353,20,701,2026,3.0,,진로: 시니어케어AI개발자; 융합 기초
354,20,706,2026,3.0,,진로: 시니어케어분석가; 데이터 분석
355,20,733,2026,3.0,,진로: 시니어케어서비스개발자; 프로젝트
