curriculum_course_id,curriculum_year,course_id,recommended_grade,semester,completion_type,is_required,note,program_id
132,2026,712,2,1학기,계열공통,False,,8
133,2026,697,2,2학기,계열공통,False,,8
134,2026,701,2,2학기,계열공통,False,,8
135,2026,702,2,2학기,계열공통,False,,8
136,2026,703,2,2학기,계열공통,False,,8
137,2026,707,2,2학기,계열공통,False,,8
138,2026,713,2,2학기,계열공통,False,,8
139,2026,695,3,1학기,전공필수,False,,8
140,2026,696,3,1학기,전공필수,False,,8
141,2026,719,3,1학기,전공선택,False,,8
142,2026,724,3,1학기,전공선택,False,,8
143,2026,726,3,1학기,전공필수,False,,8
144,2026,731,3,1학기,전공필수,False,,8
145,2026,739,3,1학기,전공필수,False,,8
146,2026,740,3,1학기,전공필수,False,,8
147,2026,698,3,2학기,전공필수,False,,8
148,2026,725,3,2학기,전공선택,False,,8
149,2026,727,3,2학기,전공선택,False,,8
150,2026,742,3,2학기,전공필수,False,,8
151,2026,743,3,2학기,전공필수,False,,8
152,2026,737,4,1학기,전공선택,False,,8
153,2026,741,4,1학기,전공선택,False,,8
154,2026,744,4,2학기,전공선택,False,,8
155,2026,691,1,1학기,계열공통,False,,9
156,2026,692,1,1학기,계열공통,False,,9
157,2026,704,1,1학기,계열공통,False,,9
158,2026,715,1,1학기,계열공통,False,,9
159,2026,716,1,1학기,계열공통,False,,9
160,2026,717,1,1학기,계열공통,False,,9
161,2026,718,1,1학기,계열공통,False,,9
162,2026,693,1,2학기,계열공통,False,,9
163,2026,694,1,2학기,계열공통,False,,9
164,2026,705,1,2학기,계열공통,False,,9
165,2026,708,1,2학기,계열공통,False,,9
166,2026,711,1,2학기,계열공통,False,,9
167,2026,714,1,2학기,계열공통,False,,9
168,2026,695,2,1학기,계열공통,False,,9
169,2026,696,2,1학기,계열공통,False,,9
170,2026,706,2,1학기,계열공통,False,,9
171,2026,709,2,1학기,계열공통,False,,9
172,2026,710,2,1학기,계열공통,False,,9
173,2026,712,2,1학기,계열공통,False,,9
174,2026,697,2,2학기,계열공통,False,,9
175,2026,698,2,2학기,계열공통,False,,9
176,2026,702,2,2학기,계열공통,False,,9
177,2026,703,2,2학기,계열공통,False,,9
178,2026,707,2,2학기,계열공통,False,,9
179,2026,713,2,2학기,계열공통,False,,9
180,2026,699,3,1학기,전공필수,False,,9
181,2026,700,3,1학기,전공필수,False,,9
182,2026,724,3,1학기,전공선택,False,,9
183,2026,732,3,1학기,전공선택,False,,9
184,2026,738,3,1학기,전공필수,False,,9
185,2026,701,3,2학기,전공필수,False,,9
186,2026,722,3,2학기,전공필수,False,,9
187,2026,728,3,2학기,전공선택,False,,9
188,2026,733,4,1학기,전공선택,False,,9
189,2026,735,4,1학기,전공선택,False,,9
190,2026,745,4,1학기,전공필수,False,,9
191,2026,734,4,2학기,전공선택,False,,9
192,2026,736,4,2학기,전공선택,False,,9
193,2026,746,4,2학기,전공필수,False,,9
194,2026,691,1,1학기,계열공통,False,,10
195,2026,692,1,1학기,계열공통,False,,10
196,2026,715,1,1학기,계열공통,False,,10
197,2026,716,1,1학기,계열공통,False,,10
198,2026,718,1,1학기,계열공통,False,,10
199,2026,693,1,2학기,계열공통,False,,10
200,2026,694,1,2학기,계열공통,False,,10
201,2026,699,1,2학기,계열공통,False,,10
202,2026,708,1,2학기,계열공통,False,,10
203,2026,711,1,2학기,계열공통,False,,10
204,2026,714,1,2학기,계열공통,False,,10
205,2026,695,2,1학기,계열공통,False,,10
206,2026,696,2,1학기,계열공통,False,,10
207,2026,700,2,1학기,계열공통,False,,10
208,2026,709,2,1학기,계열공통,False,,10
209,2026,710,2,1학기,계열공통,False,,10
210,2026,712,2,1학기,계열공통,False,,10
211,2026,697,2,2학기,계열공통,False,,10
212,2026,698,2,2학기,계열공통,False,,10
213,2026,701,2,2학기,계열공통,False,,10
214,2026,702,2,2학기,계열공통,False,,10
215,2026,703,2,2학기,계열공통,False,,10
216,2026,713,2,2학기,계열공통,False,,10
217,2026,704,3,1학기,전공필수,False,,10
218,2026,705,3,1학기,전공필수,False,,10
219,2026,717,3,1학기,전공필수,False,,10
220,2026,724,3,1학기,전공선택,False,,10
221,2026,732,3,1학기,전공선택,False,,10
222,2026,706,3,2학기,전공필수,False,,10
223,2026,707,3,2학기,전공필수,False,,10
224,2026,733,4,1학기,전공선택,False,,10
225,2026,735,4,1학기,전공선택,False,,10
226,2026,747,4,1학기,전공필수,False,,10
227,2026,748,4,1학기,전공필수,False,,10
228,2026,734,4,2학기,전공선택,False,,10
229,2026,736,4,2학기,전공선택,False,,10
230,2026,749,4,2학기,전공필수,False,,10
231,2026,750,4,2학기,전공필수,False,,10
232,2026,691,1,1학기,계열공통,False,,11
233,2026,692,1,1학기,계열공통,False,,11
234,2026,704,1,1학기,계열공통,False,,11
235,2026,715,1,1학기,계열공통,False,,11
236,2026,716,1,1학기,계열공통,False,,11
237,2026,717,1,1학기,계열공통,False,,11
238,2026,718,1,1학기,계열공통,False,,11
239,2026,693,1,2학기,계열공통,False,,11
240,2026,694,1,2학기,계열공통,False,,11
241,2026,699,1,2학기,계열공통,False,,11
242,2026,705,1,2학기,계열공통,False,,11
243,2026,711,1,2학기,계열공통,False,,11
244,2026,714,1,2학기,계열공통,False,,11
245,2026,695,2,1학기,계열공통,False,,11
246,2026,696,2,1학기,계열공통,False,,11
247,2026,700,2,1학기,계열공통,False,,11
248,2026,706,2,1학기,계열공통,False,,11
249,2026,712,2,1학기,계열공통,False,,11
250,2026,697,2,2학기,계열공통,False,,11
251,2026,698,2,2학기,계열공통,False,,11
252,2026,701,2,2학기,계열공통,False,,11
253,2026,702,2,2학기,계열공통,False,,11
254,2026,703,2,2학기,계열공통,False,,11
255,2026,707,2,2학기,계열공통,False,,11
256,2026,713,2,2학기,계열공통,False,,11
257,2026,708,3,1학기,전공필수,False,,11
258,2026,709,3,1학기,전공필수,False,,11
259,2026,719,3,1학기,전공필수,False,,11
260,2026,724,3,1학기,전공선택,False,,11
261,2026,732,3,1학기,전공선택,False,,11
262,2026,710,3,2학기,전공필수,False,,11
263,2026,720,3,2학기,전공필수,False,,11
264,2026,721,3,2학기,전공필수,False,,11
265,2026,733,4,1학기,전공선택,False,,11
266,2026,735,4,1학기,전공선택,False,,11
267,2026,751,4,1학기,전공필수,False,,11
268,2026,734,4,2학기,전공선택,False,,11
269,2026,736,4,2학기,전공선택,False,,11
270,2026,752,4,2학기,전공필수,False,,11
271,2026,691,1,1학기,계열공통,False,,12
272,2026,692,1,1학기,계열공통,False,,12
273,2026,704,1,1학기,계열공통,False,,12
274,2026,715,1,1학기,계열공통,False,,12
275,2026,716,1,1학기,계열공통,False,,12
276,2026,717,1,1학기,계열공통,False,,12
