equivalence_id,primary_course_id,equivalent_course_id,program_id,note
1,330,240,20,SA106(보조공학과제)과 TR124(보조공학과제) 동일 인정
2,357,488,19,PS407(장애인복지행정)과 PS413(장애인복지실습) 유사 인정
