schedule_id,offering_id,day_of_week,start_time,end_time,classroom
4080,3900,목,13:00:00,14:15:00,10202
4081,3900,목,14:30:00,15:45:00,10202
4082,3901,금,13:00:00,14:15:00,10301
4083,3901,금,14:30:00,15:45:00,10301
4084,3902,화,13:00:00,14:15:00,10301
4085,3902,화,14:30:00,15:45:00,10301
4086,3903,금,16:00:00,17:15:00,10202
4087,3903,금,17:30:00,18:45:00,10202
4088,3904,목,16:00:00,17:15:00,10201
4089,3904,목,17:30:00,18:45:00,10201
4090,3905,화,13:00:00,14:15:00,10202
4091,3905,화,14:30:00,15:45:00,10202
4092,3906,금,09:30:00,10:45:00,10201
4093,3906,금,11:00:00,12:15:00,10201
4094,3907,목,09:30:00,10:45:00,10204
4095,3907,목,11:00:00,12:15:00,10204
4096,3909,월,13:00:00,14:40:00,10202
4097,3910,수,09:30:00,10:45:00,10301
4098,3910,수,11:00:00,12:15:00,10301
4099,3911,월,09:30:00,10:45:00,7315
4100,3911,수,11:00:00,12:15:00,7315
4101,3912,금,13:00:00,14:15:00,18307
4102,3912,금,14:30:00,15:45:00,18307
4103,3913,화,16:00:00,17:15:00,7108
4104,3913,화,17:30:00,18:45:00,7108
4105,3914,월,11:00:00,12:15:00,7315
4106,3914,수,09:30:00,10:45:00,7315
4107,3915,월,14:30:00,15:45:00,8101
4108,3915,수,14:30:00,15:45:00,8101
4109,3918,화,13:00:00,14:15:00,7315
4110,3918,목,13:00:00,14:15:00,7315
4111,3919,월,14:30:00,15:45:00,7315
4112,3919,수,14:30:00,15:45:00,7315
4113,3921,월,13:00:00,14:15:00,8101
4114,3921,수,13:00:00,14:15:00,8101
4115,3923,월,13:00:00,14:15:00,7203
4116,3923,수,13:00:00,14:15:00,7203
4117,3924,화,13:00:00,14:15:00,7202
4118,3924,목,13:00:00,14:15:00,7202
4119,3925,금,13:00:00,14:15:00,7108
4120,3925,금,14:30:00,15:45:00,7108
4121,3926,월,14:30:00,15:45:00,7203
4122,3926,수,14:30:00,15:45:00,7203
4123,3927,월,09:30:00,10:45:00,7202
4124,3927,수,11:00:00,12:15:00,7202
4125,3928,금,09:30:00,10:45:00,7202
4126,3928,금,11:00:00,12:15:00,7202
4127,3929,화,09:30:00,10:45:00,7202
4128,3929,목,11:00:00,12:15:00,7202
4129,3930,월,11:00:00,12:15:00,7202
4130,3930,수,09:30:00,10:45:00,7202
4131,3931,화,16:00:00,17:15:00,7202
4132,3931,화,17:30:00,18:45:00,7202
4133,3933,월,13:00:00,14:15:00,7202
4134,3933,수,13:00:00,14:15:00,7202
4135,3934,월,13:00:00,14:15:00,18211-1
4136,3934,수,13:00:00,14:15:00,18211-1
4137,3935,월,09:30:00,10:45:00,18521
4138,3935,수,11:00:00,12:15:00,18521
4139,3936,월,11:00:00,12:15:00,18521
4140,3936,수,09:30:00,10:45:00,18521
4141,3937,화,11:00:00,12:15:00,18420-1
4142,3937,목,09:30:00,10:45:00,18420-1
4143,3938,화,14:30:00,15:45:00,18420-1
4144,3938,목,14:30:00,15:45:00,18420-1
4145,3939,화,16:00:00,17:15:00,18102
4146,3939,화,17:30:00,18:45:00,18102
4147,3940,화,14:30:00,15:45:00,18211-1
4148,3940,목,14:30:00,15:45:00,18211-1
4149,3941,월,13:00:00,14:15:00,18420-1
4150,3941,수,13:00:00,14:15:00,18420-1
4151,3942,화,16:00:00,17:15:00,18424
4152,3942,화,17:30:00,18:45:00,18424
4153,3943,목,13:00:00,14:15:00,18314
4154,3943,목,14:30:00,15:45:00,18314
4155,3944,화,13:00:00,14:15:00,18307
4156,3944,목,13:00:00,14:15:00,18307
4157,3945,월,09:30:00,10:45:00,18307
4158,3945,수,11:00:00,12:15:00,18307
4159,3946,금,13:00:00,14:15:00,18424
4160,3946,금,14:30:00,15:45:00,18424
4161,3947,금,13:00:00,14:15:00,18422
4162,3947,금,14:30:00,15:45:00,18422
4163,3948,월,17:30:00,18:45:00,18312
4164,3948,수,16:00:00,17:15:00,18312
4165,3949,화,11:00:00,12:15:00,18425
4166,3949,목,09:30:00,10:45:00,18425
4167,3950,화,16:00:00,17:15:00,18307
4168,3950,화,17:30:00,18:45:00,18307
4169,3951,월,16:00:00,17:15:00,18422
4170,3951,수,17:30:00,18:45:00,18422
4171,3952,월,11:00:00,12:15:00,18419
4172,3952,수,09:30:00,10:45:00,18419
4173,3953,화,13:00:00,14:15:00,18425
4174,3953,목,13:00:00,14:15:00,18425
